Name,Pos,Drafted,Retired,Pick,Peak Year,Team,G,MP,PTS,TRB,AST,PER,EWA,WS,WS/48,Total G,Total MP,Total PTS,Total TRB,Total AST,Total PER,Total EWA,Total WS,Total WS/48
Paul Arizin,SF,1950,Y,3,1952,GS,66,44.5,25.4,11.3,2.6,25.7,17.8,16,0.261,713,34.9,22.8,8.6,2.3,19.8,91.9,109,0.21
Tim Hardaway,PG,1989,Y,14,1991,GS,82,39.2,22.9,4,9.7,20.9,12.7,9.9,0.148,867,35.3,17.7,3.3,8.2,18.6,93,84.9,0.133
Trae Young,PG,2018,N,5,2022,ATL,76,34.9,28.4,3.7,9.7,25.4,15.2,10,0.181,353,33.8,25.5,3.7,9.3,22.2,53.3,33,0.133
Kyrie Irving,G,2011,N,1,2017,CLE,72,35.1,25.2,3.2,5.8,23,12.3,8.9,0.169,671,34.3,23.4,3.9,5.7,22.4,106.9,79.3,0.165
George Gervin,GF,1974,Y,40,1978,SA,82,34.8,27.2,5.1,3.7,24.7,16.1,11.9,0.2,791,33.5,26.2,4.6,2.8,21.7,118.7,88,0.159
Elvin Hayes,FC,1968,Y,1,1971,HOU,82,44.3,28.7,16.6,2.3,19.4,12.1,7.8,0.103,1303,38.4,21,12.5,1.8,17.7,133.1,120.9,0.116
Dominique Wilkins,SF,1982,Y,3,1990,ATL,80,36.1,26.7,6.5,2.5,24.6,16.2,11.1,0.184,1074,35.5,24.8,6.7,2.5,21.6,167.8,117.6,0.148
Ray Allen,SG,1996,Y,5,2001,MIL,82,38.2,22,5.2,4.6,22.9,15.4,13.7,0.21,1300,35.6,18.9,4.1,3.4,18.6,148.7,145,0.15
Dwight Howard,FC,2004,N,1,2011,ORL,78,37.6,22.9,14.1,1.4,26.1,17.6,14.4,0.236,1242,31.8,15.7,11.8,1.3,21.3,160.5,141.9,0.173
John Wall,PG,2010,N,1,2017,WAS,78,36.4,23.1,4.2,10.7,23.2,13.8,8.8,0.149,647,34.9,18.7,4.2,8.9,19,71.9,44.5,0.095
Blake Griffin,FC,2009,N,1,2014,LAC,80,35.8,24.1,9.5,3.9,23.9,14.6,12.2,0.205,765,31.9,19,8,4,21,96.9,81.3,0.16
Dave Cowens,FC,1970,Y,4,1976,BOS,78,39.8,19,16,4.2,18.9,9.7,10.6,0.164,766,38.6,17.6,13.6,3.8,17,70.3,86.4,0.14
Hal Greer,G,1958,Y,13,1964,PHI,80,39.5,23.3,6.1,4.7,17.7,8.7,8.1,0.123,1122,35.5,19.2,5,4,15.7,77.9,102.7,0.124
Jayson Tatum,F,2017,N,3,2023,BOS,74,36.9,30.1,8.8,4.6,23.7,13.8,10.5,0.184,439,34,22.5,7,3.3,19.7,51.5,45.6,0.147
Draymond Green,F,2012,N,35,2016,GS,81,34.7,14,9.5,7.4,19.3,9.3,11.1,0.19,758,28.8,8.7,7,5.6,14.6,31.2,57.3,0.126
Dave Bing,G,1966,Y,2,1971,DET,82,37.4,27,4.4,5,22.5,14.3,11.7,0.183,901,36.4,20.3,3.8,6,17.6,89.6,68.8,0.101
Neil Johnston,C,1951,Y,0,1954,GS,72,45.8,24.4,11.1,2.8,25.8,19.9,18.4,0.268,516,35.5,19.4,11.3,2.5,24.9,104,92.2,0.242
Karl-Anthony Towns,FC,2015,N,1,2017,MIN,82,37,25.1,12.3,2.7,25.9,17.9,12.7,0.201,511,34.1,23,11.2,3.2,24.4,92.6,68.7,0.189
Grant Hill,GF,1994,Y,3,1997,DET,80,39.3,21.4,9,7.3,25.5,18.8,14.6,0.223,1026,33.9,16.7,6,4.1,19,118,100.4,0.139
Chris Bosh,FC,2003,Y,4,2010,TOR,70,36.1,24,10.8,2.4,25,14,9.6,0.182,893,35.8,19.2,8.5,2,20.5,120.7,106.2,0.16
Adrian Dantley,SF,1976,Y,6,1981,UTA,80,42.7,30.7,6.4,4,24.3,18.8,13.6,0.191,955,35.8,24.3,5.7,3,21.5,149.7,134.1,0.188
Willis Reed,FC,1964,Y,8,1969,NYC,82,37.9,21.1,14.5,2.3,21.4,12.8,14.6,0.225,650,35.5,18.7,12.9,1.8,18.6,69.1,74.8,0.156
Bob McAdoo,FC,1972,Y,2,1975,LAC,82,43.2,34.5,14.1,2.2,25.8,20.8,17.8,0.241,852,33.2,22.1,9.4,2.3,20.7,109.3,89,0.151
